name,code,professor,school,description,semester,day,time,term
Independent Study,SBS 300 82,Rees,HSPH,An opportunity for independent study is offered for interested and qualified students or small groups of students. Arrangements must be made with individual faculty members and are limited by the amount of faculty time available. These programs are open to all students who wish to go beyond the content of regular courses.,2021 Spring,,12:00am - 12:00am,January
Independent Study,SBS 300 92,Geller,HSPH,An opportunity for independent study is offered for interested and qualified students or small groups of students. Arrangements must be made with individual faculty members and are limited by the amount of faculty time available. These programs are open to all students who wish to go beyond the content of regular courses.,2021 Spring,,,January
Biological and Artificial Visual Systems: How Humans and Machines Represent the Visual World,PSY 1406,Alvarez,FAS,"Someday, perhaps very soon, artificial intelligence will enable machines to perceive the world around us better than humans do. Whether AI systems will do so by emulating human perception, or by becoming supra-human and circumventing biological constraints entirely, is yet unknown. In this course, we will survey research on human and machine perception, with an emphasis on vision: How do humans and machines represent the visual world? What does human vision do that artificial neural networks don",2021 Spring,Th,3:00pm - 5:45pm,Full Term
Nationalism and Citizenship in Comparative Perspective,SOCIOL 2247,Winter,FAS,"This course focusses on the structural and discursive conditions of membership in the nation. It examines how immigration and citizenship policies emphasize specific dimensions of national identity, and how they operate as means of nation-building under the conditions of neoliberalism and globalization. The course introduces students to key sociological issues, concepts, and theories on both nationalism and citizenship, two bodies of literature that cross-fertilize but do not fully overlap. Draw",2021 Spring,T,3:00pm - 5:00pm,Full Term
Research,SBS 350 13,Subramanian,HSPH,For doctoral candidates who have passed their school-wide Oral Qualifying Examination and who are undertaking advanced work along the lines of fundamental or applied research in the department.,2020 Fall,,,Full Term
Research,SBS 350 16,Gortmaker,HSPH,For doctoral candidates who have passed their school-wide Oral Qualifying Examination and who are undertaking advanced work along the lines of fundamental or applied research in the department.,2020 Fall,,,Full Term
Stories from the End of the World,GENED 1001 002,Bazzana,FAS,"Humans seem to have always imagined the end of their world order. It appears that, without the â€œsense of an ending,â€ not only artistic production, but also individual and social lives cannot be made coherent and effective. Fantasizing about the apocalypse is something that many people in the US and almost everywhere else in the world used to do on a daily basis either by watching their favorite shows on TV, by playing videogames, or by listening to political speeches. Of course, in 2",2020 Fall,M,6:00pm - 7:15pm,Full Term
Research,SBS 350 47,Williams,HSPH,For doctoral candidates who have passed their school-wide Oral Qualifying Examination and who are undertaking advanced work along the lines of fundamental or applied research in the department.,2020 Fall,,,Full Term
Research,SBS 350 65,Lieberman,HSPH,For doctoral candidates who have passed their school-wide Oral Qualifying Examination and who are undertaking advanced work along the lines of fundamental or applied research in the department.,2020 Fall,,,Full Term
Research,SBS 350 68,Davison,HSPH,For doctoral candidates who have passed their school-wide Oral Qualifying Examination and who are undertaking advanced work along the lines of fundamental or applied research in the department.,2020 Fall,,,Full Term
