name,link,description
Applied Mathematics,https://handbook.fas.harvard.edu/book/applied-mathematics,"The Applied Mathematics concentration consists of a broad undergraduate education in the mathematical sciences, especially in those subjects that have proved vital to an understanding of problems arising in other disciplines, and in some specific area where mathematical methods have been substantively applied. For concentrators, a core learning objective is building and demonstrating foundational knowledge in computation, probability, discrete, and continuous mathematics through the successful completion of the foundation and breadth courses. In addition, through their coursework, concentrators should gain facility and comfort in using approximation to simplify problems and gain insight. They should learn to communicate effectively with fellow technical professionals, and should be prepared, by their senior year, to tackle mathematical modeling problems in their area of application, at the level of a senior thesis. Additionally, students can expect to be able to attain employment or, with appropriate planning, gain admission to graduate study in applied mathematics."
Biomedical Engineering,https://handbook.fas.harvard.edu/book/biomedical-engineering,"Biomedical Engineering lies at the intersection of the physical and life sciences, incorporating principles from physics and chemistry to understand the operation of living systems. As in other engineering fields, the approach is highly quantitative: mathematical analysis and modeling are used to capture the function of systems from subcellular to organism scales. An education in Biomedical Engineering, and engineering more broadly, enables students to translate abstract hypothesis and scientific knowledge into working systems (e.g., prosthetic devices, imaging systems, and biopharmaceuticals). This enables one to both test the understanding of basic principles and to further this knowledge, and it places this understanding in the broader context of societal needs. "
Computer Science,https://handbook.fas.harvard.edu/book/computer-science,"The concentration in Computer Science is designed to teach students skills they will use immediately and ideas they will exploit in the future in ways unimaginable today. Because information technology affects every aspect of society, graduates with computer science degrees have open to them an enormous variety of careers—engineering, teaching, medicine, law, basic science, entertainment, management, and countless others. "
Electrical Engineering,https://handbook.fas.harvard.edu/book/electrical-engineering,"Electrical Engineering is a broadly diverse field that encompasses, for example, controls, communications, signal processing, circuit design, computer engineering, and electronic and photonic devices. This concentration requires a foundational group of five courses including Engineering Sciences 150, 152, 155, 156, and Computer Science 141. It also requires completion of a minimum of three electrical engineering electives and two additional engineering electives. "
Engineering Sciences,https://handbook.fas.harvard.edu/book/engineering-sciences,"Harvard offers two degrees in Engineering Sciences: the Bachelor of Arts (AB) and the Bachelor of Science (SB). The degree requirements differ for each of these programs: the AB program requires between 14 and 16 courses (56-64 credits) and the SB program requires 20 courses (80 credits). Students in the Engineering Sciences AB program specialize in one of four engineering tracks: biomedical sciences and engineering, electrical and computer engineering, engineering physics, or mechanical and materials science and engineering. Students interested in an AB degree may also consider the Biomedical Engineering concentration and the Environmental Science and Engineering concentration, which are also listed in this publication. Students pursuing the SB degree in the Engineering Sciences concentration typically specialize in one of two tracks: bioengineering or environmental science and engineering. Students interested in an SB degree specializing in Electrical Engineering or Mechanical Engineering should refer directly to those concentrations, which are also listed in this publication. Students may also apply to a cross-disciplinary track within the Engineering Sciences SB program, which provides the opportunity to learn between or across traditional engineering areas. "
Environmental Science and Engineering,https://handbook.fas.harvard.edu/book/environmental-science-and-engineering,"Environmental Science and Engineering (ESE) is an interdisciplinary program with the goal of understanding, predicting, and responding to natural and human-induced environmental change. Addressing environmental issues such as global warming, stratospheric ozone depletion, or local and regional air and water pollution requires perspectives from a diverse set of scientific disciplines including atmospheric physics and chemistry, oceanography, glaciology, hydrology, geophysics, ecology, and biogeochemistry. This program is structured around the view that the environmental system is comprised of a complex set of chemical, physical, and biological interactions, made even more complicated by the various activities of human society. Through exploration of the underlying processes and feedbacks within the Earth system, and with a range of approaches from theory and modeling to experiments and observations, students are trained to think about environmental processes in an integrated fashion, preparing them to manage the environmental challenges we face."
Mechanical Engineering,https://handbook.fas.harvard.edu/book/mechanical-engineering,"The concentration in Mechanical Engineering is structured for a diversity of educational and professional objectives. For students who are planning to work as practicing engineers or who may be preparing for careers in business, education, government, or law—and for those whose career objectives may be less specific—the concentration provides an ideal framework for a well-rounded technical and scientific education. "
Astrophysics,https://handbook.fas.harvard.edu/book/astrophysics,"The concentration in Astrophysics introduces students to a broad range of phenomena through a program of both observational and theoretical courses. This program builds from a foundation of modern physics to a general account of the known contents of the universe. Astronomy 16 and 17 provide a complete introductory survey to the major fields of astrophysics. The research tutorial, Astronomy 98, places students in close contact with the wide range of research activities at the Harvard-Smithsonian Center for Astrophysics. Undergraduates are strongly encouraged to pursue research projects (conducted under the mentorship of members of the faculty), which culminate in their junior papers and optional senior theses. Since the emphasis of astrophysics is on the explanation of phenomena in the universe in terms of physical theory, the initial stages of a concentration in Astrophysics closely resemble those of the Physics concentration, and the courses offered by the Department of Astronomy are readily accessible to any student with a good physics background. Our concentration offers avenues similar to Physics for future employment and research opportunities. "
Chemical and Physical Biology,https://handbook.fas.harvard.edu/book/chemical-and-physical-biology,"The Chemical and Physical Biology (CPB) concentration provides students with a broad foundation in the physical and life sciences. This concentration is designed for students interested in applying quantitative tools, physical concepts, and chemical principles to the study of biology. "
Chemistry,https://handbook.fas.harvard.edu/book/chemistry,"Chemistry is the science of the structure, properties, and reactions of matter. It is both a basic science, fundamental to an understanding of the world we live in, and a practical science with an enormous number and variety of important applications. Knowledge of chemistry is fundamental to an understanding of biology and biochemistry and of certain aspects of geology, astronomy, physics, and engineering."
